status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Resolved,2016-09-17T01:12:33.897+0000,NA,sacharya,2016-09-17T01:11:23.231+0000,NA,sacharya,Open,NA,AVRO-1920,529,35,586.2491756,NA,AVRO,2016-09-17T01:11:23.231+0000,Non-existent to Open,2016-09-17T01:12:33.628+0000,1,Minor,0,Task,1,Duplicate
Resolved,2016-09-17T01:12:33.897+0000,Open,sacharya,2016-09-17T01:12:35.541+0000,0.000836921,sacharya,Resolved,NA,AVRO-1920,529,35,586.2491756,0.000836921,AVRO,2016-09-17T01:11:23.231+0000,Open to Resolved,2016-09-17T01:12:33.628+0000,1,Minor,0,Task,1,Duplicate
Resolved,2016-09-26T22:36:28.924+0000,NA,sacharya,2016-09-17T01:11:13.580+0000,NA,sacharya,Open,sacharya,AVRO-1919,529,35,576.3575844,NA,AVRO,2016-09-17T01:11:13.580+0000,Non-existent to Open,2016-09-26T22:36:26.498+0000,3,Minor,0,Task,3,Fixed
Resolved,2016-09-26T22:36:28.924+0000,Open,sacharya,2016-09-17T19:36:01.079+0000,0.767216424,sacharya,Patch Available,sacharya,AVRO-1919,529,35,576.3575844,0.767216424,AVRO,2016-09-17T01:11:13.580+0000,Open to Patch Available,2016-09-26T22:36:26.498+0000,3,Minor,0,Task,3,Fixed
Resolved,2016-09-26T22:36:28.924+0000,Patch Available,sacharya,2016-09-26T22:36:29.019+0000,9.12532338,cutting,Resolved,sacharya,AVRO-1919,529,35,576.3575844,9.892539803,AVRO,2016-09-17T01:11:13.580+0000,Patch Available to Resolved,2016-09-26T22:36:26.498+0000,3,Minor,0,Task,3,Fixed
Patch Available,2017-02-15T03:28:01.107+0000,NA,busbey,2016-07-21T15:41:00.534+0000,NA,busbey,Open,sacharya,AVRO-1887,819,40,435.155889,NA,AVRO,2016-07-21T15:41:00.534+0000,Non-existent to Open,NA,7,Blocker,0,Task,3,NA
Patch Available,2017-02-15T03:28:01.107+0000,Open,busbey,2016-10-10T22:05:46.531+0000,81.26719904,sacharya,Patch Available,sacharya,AVRO-1887,819,40,435.155889,81.26719904,AVRO,2016-07-21T15:41:00.534+0000,Open to Patch Available,NA,7,Blocker,0,Task,3,NA
Patch Available,2017-02-15T03:28:01.107+0000,Patch Available,busbey,2017-02-09T03:55:26.346+0000,121.2428219,sacharya,Open,sacharya,AVRO-1887,819,40,435.155889,202.510021,AVRO,2016-07-21T15:41:00.534+0000,Patch Available to Open,NA,7,Blocker,0,Task,3,NA
Patch Available,2017-02-15T03:28:01.107+0000,Open,busbey,2017-02-09T03:55:30.329+0000,4.61E-05,sacharya,In Progress,sacharya,AVRO-1887,819,40,435.155889,202.5100671,AVRO,2016-07-21T15:41:00.534+0000,Open to In Progress,NA,7,Blocker,0,Task,3,NA
Patch Available,2017-02-15T03:28:01.107+0000,In Progress,busbey,2017-02-15T03:26:55.509+0000,5.980152546,sacharya,Patch Available,sacharya,AVRO-1887,819,40,435.155889,208.4902196,AVRO,2016-07-21T15:41:00.534+0000,In Progress to Patch Available,NA,7,Blocker,0,Task,3,NA
Resolved,2018-03-22T18:10:42.338+0000,NA,busbey,2016-07-19T13:10:46.673+0000,NA,busbey,Open,sacharya,AVRO-1885,83,13,317.1603204,NA,AVRO,2016-07-19T13:10:46.673+0000,Non-existent to Open,2017-06-13T03:20:32.576+0000,28,Major,0,Task,11,Fixed
Resolved,2018-03-22T18:10:42.338+0000,Open,busbey,2017-05-14T23:15:45.340+0000,299.4201235,sacharya,In Progress,sacharya,AVRO-1885,83,13,317.1603204,299.4201235,AVRO,2016-07-19T13:10:46.673+0000,Open to In Progress,2017-06-13T03:20:32.576+0000,28,Major,0,Task,11,Fixed
Resolved,2018-03-22T18:10:42.338+0000,In Progress,busbey,2017-06-13T03:20:32.637+0000,29.16999186,sacharya,Resolved,sacharya,AVRO-1885,83,13,317.1603204,328.5901153,AVRO,2016-07-19T13:10:46.673+0000,In Progress to Resolved,2017-06-13T03:20:32.576+0000,28,Major,0,Task,11,Fixed
Resolved,2016-04-17T23:07:07.626+0000,NA,rdblue,2016-02-04T20:46:37.578+0000,NA,rdblue,Open,rdblue,AVRO-1794,249,34,738.3363045,NA,AVRO,2016-02-04T20:46:37.578+0000,Non-existent to Open,2016-04-17T23:07:07.565+0000,2,Major,0,Task,2,Fixed
Resolved,2016-04-17T23:07:07.626+0000,Open,rdblue,2016-04-17T23:07:07.628+0000,73.09757002,rdblue,Resolved,rdblue,AVRO-1794,249,34,738.3363045,73.09757002,AVRO,2016-02-04T20:46:37.578+0000,Open to Resolved,2016-04-17T23:07:07.565+0000,2,Major,0,Task,2,Fixed
Resolved,2016-02-26T16:30:34.032+0000,NA,rdblue,2016-02-02T18:29:32.643+0000,NA,rdblue,Open,mtth,AVRO-1790,305,22,796.6482688,NA,AVRO,2016-02-02T18:29:32.643+0000,Non-existent to Open,2016-02-19T15:37:53.848+0000,6,Major,0,Task,3,Fixed
Resolved,2016-02-26T16:30:34.032+0000,Open,rdblue,2016-02-19T15:37:53.916+0000,16.88080177,mtth,Resolved,mtth,AVRO-1790,305,22,796.6482688,16.88080177,AVRO,2016-02-02T18:29:32.643+0000,Open to Resolved,2016-02-19T15:37:53.848+0000,6,Major,0,Task,3,Fixed
Closed,2016-02-01T14:56:04.710+0000,NA,rdblue,2015-12-03T21:56:41.297+0000,NA,rdblue,Open,rdblue,AVRO-1765,413,38,814.6773105,NA,AVRO,2015-12-03T21:56:41.297+0000,Non-existent to Open,2015-12-04T19:48:27.486+0000,6,Major,0,Task,5,Fixed
Closed,2016-02-01T14:56:04.710+0000,Open,rdblue,2015-12-03T22:24:06.388+0000,0.019040405,rdblue,Patch Available,rdblue,AVRO-1765,413,38,814.6773105,0.019040405,AVRO,2015-12-03T21:56:41.297+0000,Open to Patch Available,2015-12-04T19:48:27.486+0000,6,Major,0,Task,5,Fixed
