status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Closed,2009-09-16T22:31:44.912+0000,Patch Available,cutting,2009-07-18T04:18:44.194+0000,28.30958095,cutting,Resolved,cutting,AVRO-54,117,21,3143.360877,31.29927178,AVRO,2009-06-16T21:07:47.112+0000,Patch Available to Resolved,2009-07-18T04:18:44.194+0000,2,Major,0,Improvement,1,Fixed
Closed,2009-09-16T22:31:44.912+0000,Resolved,cutting,2009-09-16T22:31:44.913+0000,60.7590361,cutting,Closed,cutting,AVRO-54,117,21,3143.360877,92.05830788,AVRO,2009-06-16T21:07:47.112+0000,Resolved to Closed,2009-07-18T04:18:44.194+0000,2,Major,0,Improvement,1,Fixed
Closed,2009-07-14T22:50:13.946+0000,,cutting,2009-06-16T20:59:43.976+0000,,cutting,Open,cutting,AVRO-53,49,32,3207.348041,,AVRO,2009-06-16T20:59:43.976+0000,Non-existent to Open,2009-06-17T20:20:40.655+0000,3,Major,0,Improvement,1,Fixed
Closed,2009-07-14T22:50:13.946+0000,Open,cutting,2009-06-17T20:20:40.655+0000,0.972878229,cutting,Resolved,cutting,AVRO-53,49,32,3207.348041,0.972878229,AVRO,2009-06-16T20:59:43.976+0000,Open to Resolved,2009-06-17T20:20:40.655+0000,3,Major,0,Improvement,1,Fixed
Closed,2009-07-14T22:50:13.946+0000,Resolved,cutting,2009-07-14T22:50:13.947+0000,27.10385755,cutting,Closed,cutting,AVRO-53,49,32,3207.348041,28.07673578,AVRO,2009-06-16T20:59:43.976+0000,Resolved to Closed,2009-06-17T20:20:40.655+0000,3,Major,0,Improvement,1,Fixed
Open,2010-01-04T17:48:54.793+0000,,philip,2009-06-13T19:13:15.094+0000,,philip,Open,hammer,AVRO-52,494,53,3238.498722,,AVRO,2009-06-13T19:13:15.094+0000,Non-existent to Open,,8,Major,1,Test,5,
Closed,2009-07-14T22:50:13.885+0000,,philip,2009-06-13T17:36:22.499+0000,,philip,Open,philip,AVRO-51,84,33,3207.348042,,AVRO,2009-06-13T17:36:22.499+0000,Non-existent to Open,2009-06-15T05:47:22.166+0000,1,Major,0,Bug,2,Fixed
Closed,2009-07-14T22:50:13.885+0000,Open,philip,2009-06-15T05:47:22.166+0000,1.507635035,sharadag,Resolved,philip,AVRO-51,84,33,3207.348042,1.507635035,AVRO,2009-06-13T17:36:22.499+0000,Open to Resolved,2009-06-15T05:47:22.166+0000,1,Major,0,Bug,2,Fixed
Closed,2009-07-14T22:50:13.885+0000,Resolved,philip,2009-07-14T22:50:13.885+0000,29.71032082,cutting,Closed,philip,AVRO-51,84,33,3207.348042,31.21795586,AVRO,2009-06-13T17:36:22.499+0000,Resolved to Closed,2009-06-15T05:47:22.166+0000,1,Major,0,Bug,2,Fixed
Closed,2009-09-16T22:31:44.807+0000,,philip,2009-06-13T16:56:07.895+0000,,philip,Open,cutting,AVRO-50,745,45,3143.360878,,AVRO,2009-06-13T16:56:07.895+0000,Non-existent to Open,2009-07-22T20:21:18.971+0000,23,Major,1,New Feature,3,Fixed
Closed,2009-09-16T22:31:44.807+0000,Open,philip,2009-06-25T22:02:10.997+0000,12.2125359,cutting,In Progress,cutting,AVRO-50,745,45,3143.360878,12.2125359,AVRO,2009-06-13T16:56:07.895+0000,Open to In Progress,2009-07-22T20:21:18.971+0000,23,Major,1,New Feature,3,Fixed
Closed,2009-09-16T22:31:44.807+0000,In Progress,philip,2009-07-22T20:21:18.971+0000,26.9299534,cutting,Resolved,cutting,AVRO-50,745,45,3143.360878,39.14248931,AVRO,2009-06-13T16:56:07.895+0000,In Progress to Resolved,2009-07-22T20:21:18.971+0000,23,Major,1,New Feature,3,Fixed
Closed,2009-09-16T22:31:44.807+0000,Resolved,philip,2009-09-16T22:31:44.817+0000,56.09057692,cutting,Closed,cutting,AVRO-50,745,45,3143.360878,95.23306623,AVRO,2009-06-13T16:56:07.895+0000,Resolved to Closed,2009-07-22T20:21:18.971+0000,23,Major,1,New Feature,3,Fixed
Closed,2009-07-14T23:04:48.250+0000,,ijuma,2009-06-10T20:38:13.648+0000,,ijuma,Open,,AVRO-49,400,26,3207.337922,,AVRO,2009-06-10T20:38:13.648+0000,Non-existent to Open,2009-06-23T19:57:02.204+0000,6,Major,0,Improvement,2,Won't Fix
Closed,2009-07-14T23:04:48.250+0000,Open,ijuma,2009-06-23T19:57:02.204+0000,12.97139532,cutting,Resolved,,AVRO-49,400,26,3207.337922,12.97139532,AVRO,2009-06-10T20:38:13.648+0000,Open to Resolved,2009-06-23T19:57:02.204+0000,6,Major,0,Improvement,2,Won't Fix
Closed,2009-07-14T23:04:48.250+0000,Resolved,ijuma,2009-07-14T23:04:48.261+0000,21.13039418,cutting,Closed,,AVRO-49,400,26,3207.337922,34.1017895,AVRO,2009-06-10T20:38:13.648+0000,Resolved to Closed,2009-06-23T19:57:02.204+0000,6,Major,0,Improvement,2,Won't Fix
Closed,2009-07-14T22:50:13.806+0000,,thiru_mg,2009-06-06T04:13:03.651+0000,,thiru_mg,Open,thiru_mg,AVRO-48,99,87,3207.348043,,AVRO,2009-06-06T04:13:03.651+0000,Non-existent to Open,2009-06-08T21:54:31.105+0000,1,Minor,0,Task,0,Fixed
Closed,2009-07-14T22:50:13.806+0000,Open,thiru_mg,2009-06-06T04:15:31.913+0000,0.001715995,thiru_mg,Patch Available,thiru_mg,AVRO-48,99,87,3207.348043,0.001715995,AVRO,2009-06-06T04:13:03.651+0000,Open to Patch Available,2009-06-08T21:54:31.105+0000,1,Minor,0,Task,0,Fixed
